"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371043211","Block Group 1; Census Tract 1043.21; Los Angeles County; California","-","**",
"1500000US060371043212","Block Group 2; Census Tract 1043.21; Los Angeles County; California","984","866",
"1500000US060371043213","Block Group 3; Census Tract 1043.21; Los Angeles County; California","2250","1402",
"1500000US060371043221","Block Group 1; Census Tract 1043.22; Los Angeles County; California","1106","905",
"1500000US060371043222","Block Group 2; Census Tract 1043.22; Los Angeles County; California","-","**",
"1500000US060371044011","Block Group 1; Census Tract 1044.01; Los Angeles County; California","1600","848",
"1500000US060371044012","Block Group 2; Census Tract 1044.01; Los Angeles County; California","1438","884",
"1500000US060371044031","Block Group 1; Census Tract 1044.03; Los Angeles County; California","2579","1039",
"1500000US060371044032","Block Group 2; Census Tract 1044.03; Los Angeles County; California","1705","196",
"1500000US060371044041","Block Group 1; Census Tract 1044.04; Los Angeles County; California","1476","258",
"1500000US060371044042","Block Group 2; Census Tract 1044.04; Los Angeles County; California","1760","149",
"1500000US060371045001","Block Group 1; Census Tract 1045; Los Angeles County; California","2440","1656",
"1500000US060371045002","Block Group 2; Census Tract 1045; Los Angeles County; California","-","**",
"1500000US060371046101","Block Group 1; Census Tract 1046.10; Los Angeles County; California","1702","1420",
"1500000US060371046102","Block Group 2; Census Tract 1046.10; Los Angeles County; California","2191","420",
"1500000US060371046201","Block Group 1; Census Tract 1046.20; Los Angeles County; California","1200","866",
"1500000US060371046202","Block Group 2; Census Tract 1046.20; Los Angeles County; California","1730","261",
"1500000US060371047011","Block Group 1; Census Tract 1047.01; Los Angeles County; California","2163","154",
"1500000US060371047012","Block Group 2; Census Tract 1047.01; Los Angeles County; California","1250","170",
"1500000US060371047013","Block Group 3; Census Tract 1047.01; Los Angeles County; California","1462","156",
"1500000US060371047031","Block Group 1; Census Tract 1047.03; Los Angeles County; California","1777","183",
"1500000US060371047032","Block Group 2; Census Tract 1047.03; Los Angeles County; California","988","226",
"1500000US060371047041","Block Group 1; Census Tract 1047.04; Los Angeles County; California","1958","843",
"1500000US060371047042","Block Group 2; Census Tract 1047.04; Los Angeles County; California","2021","251",
"1500000US060371047043","Block Group 3; Census Tract 1047.04; Los Angeles County; California","973","476",
"1500000US060371048211","Block Group 1; Census Tract 1048.21; Los Angeles County; California","1612","317",
"1500000US060371048212","Block Group 2; Census Tract 1048.21; Los Angeles County; California","1785","180",
"1500000US060371048221","Block Group 1; Census Tract 1048.22; Los Angeles County; California","1946","418",
"1500000US060371048231","Block Group 1; Census Tract 1048.23; Los Angeles County; California","2939","1201",
"1500000US060371048232","Block Group 2; Census Tract 1048.23; Los Angeles County; California","-","**",
"1500000US060371048241","Block Group 1; Census Tract 1048.24; Los Angeles County; California","1825","1032",
"1500000US060371048242","Block Group 2; Census Tract 1048.24; Los Angeles County; California","-","**",
"1500000US060371060101","Block Group 1; Census Tract 1060.10; Los Angeles County; California","2320","538",
"1500000US060371060102","Block Group 2; Census Tract 1060.10; Los Angeles County; California","2321","229",
"1500000US060371060201","Block Group 1; Census Tract 1060.20; Los Angeles County; California","1619","285",
"1500000US060371060202","Block Group 2; Census Tract 1060.20; Los Angeles County; California","-","**",
"1500000US060371060203","Block Group 3; Census Tract 1060.20; Los Angeles County; California","3,500+","***",
"1500000US060371061111","Block Group 1; Census Tract 1061.11; Los Angeles County; California","-","**",
"1500000US060371061112","Block Group 2; Census Tract 1061.11; Los Angeles County; California","-","**",
"1500000US060371061121","Block Group 1; Census Tract 1061.12; Los Angeles County; California","2698","408",
"1500000US060371061122","Block Group 2; Census Tract 1061.12; Los Angeles County; California","-","**",
"1500000US060371061123","Block Group 3; Census Tract 1061.12; Los Angeles County; California","-","**",
"1500000US060371061131","Block Group 1; Census Tract 1061.13; Los Angeles County; California","1825","801",
"1500000US060371061132","Block Group 2; Census Tract 1061.13; Los Angeles County; California","1792","854",
"1500000US060371061141","Block Group 1; Census Tract 1061.14; Los Angeles County; California","1435","455",
"1500000US060371061142","Block Group 2; Census Tract 1061.14; Los Angeles County; California","1908","212",
"1500000US060371061143","Block Group 3; Census Tract 1061.14; Los Angeles County; California","2240","43",
"1500000US060371064031","Block Group 1; Census Tract 1064.03; Los Angeles County; California","1054","301",
"1500000US060371064032","Block Group 2; Census Tract 1064.03; Los Angeles County; California","1800","729",
"1500000US060371064033","Block Group 3; Census Tract 1064.03; Los Angeles County; California","1500","882",
"1500000US060371064051","Block Group 1; Census Tract 1064.05; Los Angeles County; California","1098","585",
"1500000US060371064052","Block Group 2; Census Tract 1064.05; Los Angeles County; California","1572","855",
"1500000US060371064053","Block Group 3; Census Tract 1064.05; Los Angeles County; California","2181","153",
"1500000US060371064061","Block Group 1; Census Tract 1064.06; Los Angeles County; California","2327","493",
"1500000US060371064062","Block Group 2; Census Tract 1064.06; Los Angeles County; California","-","**",
"1500000US060371064063","Block Group 3; Census Tract 1064.06; Los Angeles County; California","2370","699",
"1500000US060371064071","Block Group 1; Census Tract 1064.07; Los Angeles County; California","1782","506",
"1500000US060371064072","Block Group 2; Census Tract 1064.07; Los Angeles County; California","1968","346",
"1500000US060371064081","Block Group 1; Census Tract 1064.08; Los Angeles County; California","1719","124",
"1500000US060371064082","Block Group 2; Census Tract 1064.08; Los Angeles County; California","1654","204",
"1500000US060371065101","Block Group 1; Census Tract 1065.10; Los Angeles County; California","1887","581",
"1500000US060371065102","Block Group 2; Census Tract 1065.10; Los Angeles County; California","3077","766",
"1500000US060371065103","Block Group 3; Census Tract 1065.10; Los Angeles County; California","2225","190",
"1500000US060371065201","Block Group 1; Census Tract 1065.20; Los Angeles County; California","2275","1213",
"1500000US060371065202","Block Group 2; Census Tract 1065.20; Los Angeles County; California","1813","285",
"1500000US060371065203","Block Group 3; Census Tract 1065.20; Los Angeles County; California","1872","216",
"1500000US060371066031","Block Group 1; Census Tract 1066.03; Los Angeles County; California","3,500+","***",
"1500000US060371066032","Block Group 2; Census Tract 1066.03; Los Angeles County; California","3,500+","***",
"1500000US060371066041","Block Group 1; Census Tract 1066.04; Los Angeles County; California","1700","279",
"1500000US060371066042","Block Group 2; Census Tract 1066.04; Los Angeles County; California","2269","313",
"1500000US060371066043","Block Group 3; Census Tract 1066.04; Los Angeles County; California","1550","394",
"1500000US060371066411","Block Group 1; Census Tract 1066.41; Los Angeles County; California","3273","396",
"1500000US060371066421","Block Group 1; Census Tract 1066.42; Los Angeles County; California","-","**",
"1500000US060371066422","Block Group 2; Census Tract 1066.42; Los Angeles County; California","-","**",
"1500000US060371066423","Block Group 3; Census Tract 1066.42; Los Angeles County; California","-","**",
"1500000US060371066431","Block Group 1; Census Tract 1066.43; Los Angeles County; California","-","**",
"1500000US060371066432","Block Group 2; Census Tract 1066.43; Los Angeles County; California","-","**",
"1500000US060371066433","Block Group 3; Census Tract 1066.43; Los Angeles County; California","-","**",
"1500000US060371066451","Block Group 1; Census Tract 1066.45; Los Angeles County; California","-","**",
"1500000US060371066452","Block Group 2; Census Tract 1066.45; Los Angeles County; California","-","**",
"1500000US060371066461","Block Group 1; Census Tract 1066.46; Los Angeles County; California","1442","635",
"1500000US060371066462","Block Group 2; Census Tract 1066.46; Los Angeles County; California","3,500+","***",
"1500000US060371066481","Block Group 1; Census Tract 1066.48; Los Angeles County; California","1375","265",
"1500000US060371066482","Block Group 2; Census Tract 1066.48; Los Angeles County; California","1362","181",
